#---EXFOR Request #1880
#---EXFOR Standard Output---
#=============================================================================
#DATASET        33035002 
#NOW            2016/08/26:09:39:59
#SUBENT         33035002   20110609
#ENTRY          33035      20110609
#AUTHOR1        M.S.Samant+
#YEAR           1993
#X4REF1         J,PRM,40,(4),299,1993
#REFERENCE1     Jour: Pramana, Vol.40, Issue.4, p.299 (1993)
#REACTION       92-U-235(N,F)MASS,PR,NU,,MSC
#D4REAC         R0#
#C4Reaction     (N,F)MASS,PR,NU,,MSC
#ReactionType   NU
#Quantity       Prompt neutron yield (nu-bar)
#IndVarFamCode  [0 2    7   ]
#ExpectedUnits  [PART/FIS]
#xVariables     2
#+              Y = Y(X1,X2)
#COLUMNS        6
#HEADER         7           6           12
!DATA        DATA-ERR    ERR-DIG     EN-DUMMY    MASS-MIN    MASS-MAX    
!PRT/FIS     PRT/FIS     PRT/FIS     EV          NO-DIM      NO-DIM      
!Y.Value     Y.Err+-     Y.pErr+-    X1.Value    X2.Min      X2.Max      
!0.1         0.911       0.955       1.1         2.2         2.3         
!variable    variable    const       const       variable    variable    
!1.0         1.0         1.0         1.0         1.0         1.0         
!PART/FIS    PART/FIS    PART/FIS    EV          NO-DIM      NO-DIM      
#DATA           104         6           12
 1.82        0.16        0.01        0.0253      86.         87.         
 1.68        0.11        0.01        0.0253      86.         87.         
 1.34        0.11        0.01        0.0253      86.         87.         
 1.2         0.11        0.01        0.0253      86.         87.         
 1.04        0.16        0.01        0.0253      86.         87.         
 0.86        0.23        0.01        0.0253      86.         87.         
 1.84        0.3         0.01        0.0253      90.         91.         
 1.88        0.23        0.01        0.0253      90.         91.         
 1.82        0.15        0.01        0.0253      90.         91.         
 1.61        0.11        0.01        0.0253      90.         91.         
 1.46        0.13        0.01        0.0253      90.         91.         
 1.27        0.11        0.01        0.0253      90.         91.         
 0.94        0.24        0.01        0.0253      90.         91.         
 0.66        0.21        0.01        0.0253      90.         91.         
 2.36        0.14        0.01        0.0253      94.         95.         
 2.44        0.16        0.01        0.0253      94.         95.         
 2.26        0.18        0.01        0.0253      94.         95.         
 2.06        0.1         0.01        0.0253      94.         95.         
 1.87        0.14        0.01        0.0253      94.         95.         
 1.65        0.14        0.01        0.0253      94.         95.         
 1.37        0.12        0.01        0.0253      94.         95.         
 1.05        0.14        0.01        0.0253      94.         95.         
 0.63        0.14        0.01        0.0253      94.         95.         
 2.6         0.11        0.01        0.0253      98.         99.         
 2.42        0.11        0.01        0.0253      98.         99.         
 2.29        0.11        0.01        0.0253      98.         99.         
 2.07        0.13        0.01        0.0253      98.         99.         
 1.86        0.09        0.01        0.0253      98.         99.         
 1.66        0.11        0.01        0.0253      98.         99.         
 1.39        0.13        0.01        0.0253      98.         99.         
 1.14        0.13        0.01        0.0253      98.         99.         
 0.9         0.11        0.01        0.0253      98.         99.         
 0.65        0.13        0.01        0.0253      98.         99.         
 2.61        0.21        0.01        0.0253      102.        103.        
 2.59        0.14        0.01        0.0253      102.        103.        
 2.45        0.11        0.01        0.0253      102.        103.        
 2.25        0.12        0.01        0.0253      102.        103.        
 2.07        0.12        0.01        0.0253      102.        103.        
 1.82        0.12        0.01        0.0253      102.        103.        
 1.52        0.12        0.01        0.0253      102.        103.        
 1.33        0.12        0.01        0.0253      102.        103.        
 1.08        0.14        0.01        0.0253      102.        103.        
 0.81        0.14        0.01        0.0253      102.        103.        
 2.36        0.14        0.01        0.0253      106.        107.        
 2.44        0.16        0.01        0.0253      106.        107.        
 2.26        0.18        0.01        0.0253      106.        107.        
 2.06        0.1         0.01        0.0253      106.        107.        
 1.87        0.14        0.01        0.0253      106.        107.        
 1.65        0.14        0.01        0.0253      106.        107.        
 1.37        0.12        0.01        0.0253      106.        107.        
 1.05        0.14        0.01        0.0253      106.        107.        
 0.63        0.14        0.01        0.0253      106.        107.        
 1.21        0.23        0.01        0.0253      130.        131.        
 1.19        0.23        0.01        0.0253      130.        131.        
 1.26        0.25        0.01        0.0253      130.        131.        
 1.01        0.18        0.01        0.0253      130.        131.        
 0.91        0.14        0.01        0.0253      130.        131.        
 0.62        0.2         0.01        0.0253      130.        131.        
 0.53        0.12        0.01        0.0253      130.        131.        
 0.41        0.12        0.01        0.0253      130.        131.        
 0.35        0.12        0.01        0.0253      130.        131.        
 0.27        0.11        0.01        0.0253      130.        131.        
 1.56        0.16        0.01        0.0253      134.        135.        
 1.36        0.14        0.01        0.0253      134.        135.        
 1.31        0.14        0.01        0.0253      134.        135.        
 1.19        0.12        0.01        0.0253      134.        135.        
 1.1         0.11        0.01        0.0253      134.        135.        
 0.94        0.11        0.01        0.0253      134.        135.        
 0.8         0.12        0.01        0.0253      134.        135.        
 0.71        0.12        0.01        0.0253      134.        135.        
 0.61        0.11        0.01        0.0253      134.        135.        
 0.56        0.11        0.01        0.0253      134.        135.        
 1.73        0.12        0.01        0.0253      138.        139.        
 1.52        0.12        0.01        0.0253      138.        139.        
 1.38        0.1         0.01        0.0253      138.        139.        
 1.22        0.1         0.01        0.0253      138.        139.        
 1.11        0.09        0.01        0.0253      138.        139.        
 1.02        0.09        0.01        0.0253      138.        139.        
 0.93        0.09        0.01        0.0253      138.        139.        
 0.86        0.12        0.01        0.0253      138.        139.        
 0.77        0.1         0.01        0.0253      138.        139.        
 1.9         0.24        0.01        0.0253      142.        143.        
 1.57        0.16        0.01        0.0253      142.        143.        
 1.45        0.16        0.01        0.0253      142.        143.        
 1.27        0.12        0.01        0.0253      142.        143.        
 1.15        0.14        0.01        0.0253      142.        143.        
 0.98        0.09        0.01        0.0253      142.        143.        
 0.89        0.1         0.01        0.0253      142.        143.        
 0.82        0.1         0.01        0.0253      142.        143.        
 0.75        0.12        0.01        0.0253      142.        143.        
 1.77        0.21        0.01        0.0253      146.        147.        
 1.63        0.19        0.01        0.0253      146.        147.        
 1.42        0.14        0.01        0.0253      146.        147.        
 1.23        0.14        0.01        0.0253      146.        147.        
 1.07        0.14        0.01        0.0253      146.        147.        
 0.95        0.14        0.01        0.0253      146.        147.        
 0.93        0.16        0.01        0.0253      146.        147.        
 0.84        0.12        0.01        0.0253      146.        147.        
 1.62        0.19        0.01        0.0253      150.        151.        
 1.6         0.16        0.01        0.0253      150.        151.        
 1.39        0.11        0.01        0.0253      150.        151.        
 1.25        0.14        0.01        0.0253      150.        151.        
 1.11        0.16        0.01        0.0253      150.        151.        
 1.04        0.21        0.01        0.0253      150.        151.        
#ENDDATA        104         6
#Legend         6           12
#
#COL-1         : Data        : variable    
#+   Rank      : 0.1         : Y.Value     
#+   Type      : 21          : 0.1         
#+   Header    : DATA        : [Data: data]
#+   Units     : PRT/FIS     : [particles per fission]
