#---EXFOR Request #2089
#---EXFOR Standard Output---
#=============================================================================
#DATASET        14369003 
#NOW            2016/08/29:04:32:38
#SUBENT         14369003   20130625
#ENTRY          14369      20130625
#AUTHOR1        J.S.Fraser+
#YEAR           1966
#X4REF1         J,ARN,16,379,1966
#REFERENCE1     Jour: Annual Review of Nuclear and Part.Sci., Vol.16, p.379 (1966)
#REACTION       92-U-235(N,F)MASS,PR/FRG,NU
#D4REAC         R0#
#C4Reaction     (N,F)MASS,PR/FRG,NU
#ReactionType   NU
#Quantity       Mult. of prompt neutrons from the fragment spec.
#IndVarFamCode  [0 2    7   ]
#ExpectedUnits  [PART/FIS]
#xVariables     2
#+              Y = Y(X1,X2)
#COLUMNS        4
#HEADER         7           4           12
!DATA        DATA-ERR    EN          MASS        
!NO-DIM      NO-DIM      EV          NO-DIM      
!Y.Value     Y.Err+-     X1.Value    X2.Value    
!0.1         0.911       1.1         2.1         
!variable    variable    const       variable    
!1.0         1.0         1.0         1.0         
!NO-DIM      NO-DIM      EV          NO-DIM      
#DATA           77          4           12
 0.8943      0.274       0.0253      80.         
 0.7448      0.1957      0.0253      81.         
 0.6801      0.1761      0.0253      82.         
 0.8569      0.1241      0.0253      83.         
 0.9423      0.0914      0.0253      84.         
 1.021       0.08469     0.0253      85.         
 1.022       0.07164     0.0253      86.         
 1.185       0.07164     0.0253      87.         
 1.251       0.05207     0.0253      88.         
 1.395       0.05216     0.0253      89.         
 1.618       0.03263     0.0253      90.         
 1.592       0.05211     0.0253      91.         
 1.567       0.02601     0.0253      92.         
 1.62        0.03254     0.0253      93.         
 1.672       0.03258     0.0253      94.         
 1.777       0.02606     0.0253      95.         
 1.876       0.03276     0.0253      96.         
 1.694       0.03271     0.0253      97.         
 1.57        0.03258     0.0253      98.         
 1.623       0.03263     0.0253      99.         
 1.721       0.03258     0.0253      100.        
 1.774       0.03906     0.0253      101.        
 1.723       0.03254     0.0253      102.        
 1.677       0.03249     0.0253      103.        
 1.776       0.03258     0.0253      104.        
 1.809       0.05864     0.0253      105.        
 1.966       0.07173     0.0253      106.        
 2.319       0.08474     0.0253      107.        
 2.855       0.1108      0.0253      108.        
 2.457       0.1566      0.0253      109.        
 1.858       0.2152      0.0253      110.        
 1.454       0.248       0.0253      111.        
 2.85        0.2741      0.0253      112.        
 2.107       0.3589      0.0253      113.        
 3.159       0.3589      0.0253      116.        
 1.907       0.4568      0.0253      117.        
 1.705       0.3785      0.0253      118.        
 1.119       0.4828      0.0253      119.        
 0.9954      0.3784      0.0253      120.        
 0.8132      0.5741      0.0253      121.        
 1.101       0.4568      0.0253      122.        
 0.4881      0.6916      0.0253      123.        
 2.159       0.6787      0.0253      124.        
 0.9069      0.7111      0.0253      125.        
 0.7508      0.437       0.0253      126.        
 0.7514      0.2741      0.0253      127.        
 0.1908      0.8482      0.0253      128.        
 0.2958      0.3457      0.0253      129.        
 0.2507      0.2937      0.0253      130.        
 0.4666      0.1239      0.0253      131.        
 0.428       0.1305      0.0253      132.        
 0.6569      0.09126     0.0253      133.        
 0.7488      0.05864     0.0253      134.        
 0.9973      0.06521     0.0253      135.        
 1.181       0.03919     0.0253      136.        
 1.129       0.03254     0.0253      137.        
 1.325       0.03254     0.0253      138.        
 1.254       0.05868     0.0253      139.        
 1.255       0.05224     0.0253      140.        
 1.281       0.02601     0.0253      141.        
 1.354       0.05868     0.0253      142.        
 1.328       0.03906     0.0253      143.        
 1.303       0.07164     0.0253      144.        
